scenario,controller,qp_success_rate,active_rate,mean_correction,max_correction,min_cbf_slack
nominal,cbf_only,1.000000,0.145649,0.016854,0.267755,-0.000000
nominal,cbf_robust,1.000000,0.173370,0.023506,0.317593,-0.000000
nominal,cbf_observer,1.000000,0.178823,0.028414,0.366338,-0.000000
nominal,cbf_observer_robust,1.000000,0.195637,0.036770,0.456388,-0.000000
strong_disturbance,cbf_only,1.000000,0.151329,0.016763,0.258980,-0.000000
strong_disturbance,cbf_robust,1.000000,0.177914,0.024921,0.290229,-0.000000
strong_disturbance,cbf_observer,1.000000,0.193365,0.033946,0.404540,-0.000000
strong_disturbance,cbf_observer_robust,1.000000,0.208816,0.044213,0.501292,-0.000000
large_obstacle,cbf_only,1.000000,0.211088,0.037086,0.394512,-0.000000
large_obstacle,cbf_robust,1.000000,0.224040,0.050012,0.470327,-0.000000
large_obstacle,cbf_observer,1.000000,0.234265,0.049982,0.472348,-0.000000
large_obstacle,cbf_observer_robust,1.000000,0.242899,0.063891,0.580066,-0.000000
tight_actuation,cbf_only,1.000000,0.145649,0.016854,0.267755,-0.000000
tight_actuation,cbf_robust,1.000000,0.173370,0.023506,0.317593,-0.000000
tight_actuation,cbf_observer,1.000000,0.178823,0.028414,0.366338,-0.000000
tight_actuation,cbf_observer_robust,1.000000,0.195637,0.036770,0.456388,-0.000000
narrow_passage,cbf_only,1.000000,0.192002,0.029320,0.349971,-0.000000
narrow_passage,cbf_robust,1.000000,0.208816,0.040735,0.410202,-0.000000
narrow_passage,cbf_observer,1.000000,0.221313,0.044436,0.451669,-0.000000
narrow_passage,cbf_observer_robust,1.000000,0.232447,0.057247,0.556207,-0.000000
