scenario,controller,min_h,final_error,mean_error,max_error,max_attitude_error_deg,max_thrust,thrust_saturation_ratio
nominal,baseline,-0.030743,0.078188,0.107444,0.251233,2.493666,12.868565,0.000000
nominal,apf_avoidance,0.130674,0.078435,0.129030,0.251233,2.493666,12.868565,0.000000
nominal,cbf_only,0.069700,0.078150,0.106375,0.251233,2.493666,12.868565,0.000000
nominal,cbf_robust,0.081601,0.054736,0.088155,0.250920,2.988153,12.982100,0.000000
nominal,cbf_observer,0.234861,0.031044,0.058691,0.251242,2.539301,12.868565,0.000000
nominal,cbf_observer_robust,0.233334,0.024554,0.052947,0.250923,3.032526,12.982100,0.000000
strong_disturbance,baseline,-0.084037,0.120535,0.163633,0.253065,2.513317,12.868565,0.000000
strong_disturbance,apf_avoidance,0.099436,0.120799,0.182043,0.258280,2.513317,12.868565,0.000000
strong_disturbance,cbf_only,0.008370,0.120496,0.162318,0.253065,2.513317,12.868565,0.000000
strong_disturbance,cbf_robust,0.026845,0.085128,0.133425,0.250888,3.011495,12.982100,0.000000
strong_disturbance,cbf_observer,0.261990,0.054451,0.073981,0.251191,2.616160,12.868565,0.000000
strong_disturbance,cbf_observer_robust,0.261435,0.043248,0.065852,0.250893,3.107595,12.982100,0.000000
large_obstacle,baseline,-0.134945,0.078188,0.107444,0.251233,2.493666,12.868565,0.000000
large_obstacle,apf_avoidance,0.030603,0.078458,0.130097,0.251233,2.493666,12.868565,0.000000
large_obstacle,cbf_only,0.041140,0.078116,0.116058,0.251233,2.493666,12.868565,0.000000
large_obstacle,cbf_robust,0.051954,0.054380,0.099460,0.250920,2.988153,12.982100,0.000000
large_obstacle,cbf_observer,0.208575,0.031046,0.071868,0.258842,2.539301,12.868565,0.000000
large_obstacle,cbf_observer_robust,0.202836,0.024730,0.066587,0.254290,3.032526,12.982100,0.000000
tight_actuation,baseline,-0.030743,0.078188,0.107444,0.251233,2.493666,12.868565,0.000454
tight_actuation,apf_avoidance,0.130674,0.078435,0.129030,0.251233,2.493666,12.868565,0.000454
tight_actuation,cbf_only,0.069700,0.078150,0.106375,0.251233,2.493666,12.868565,0.000454
tight_actuation,cbf_robust,0.081601,0.054736,0.088171,0.250983,2.987403,12.920000,0.003636
tight_actuation,cbf_observer,0.234861,0.031044,0.058691,0.251242,2.539301,12.868565,0.000454
tight_actuation,cbf_observer_robust,0.233334,0.024554,0.052967,0.250985,3.031807,12.920000,0.003408
narrow_passage,baseline,-0.121829,0.095766,0.130636,0.251210,2.501287,12.868565,0.000000
narrow_passage,apf_avoidance,0.051357,0.096036,0.151411,0.251210,2.501287,12.868565,0.000000
narrow_passage,cbf_only,0.023446,0.095704,0.134108,0.251210,2.501287,12.868565,0.000000
narrow_passage,cbf_robust,0.037178,0.067060,0.112692,0.250906,2.997272,12.982100,0.000000
narrow_passage,cbf_observer,0.228620,0.040773,0.073081,0.251734,2.567090,12.868565,0.000000
narrow_passage,cbf_observer_robust,0.228649,0.032445,0.066728,0.250910,3.060187,12.982100,0.000000
